id,description,type
AMBIGUOUS_COLLECTION,The given collection matches with more than 1 GRSciColl collection.,assertions
AMBIGUOUS_INSTITUTION,The given institution matches with more than 1 GRSciColl institution.,assertions
BASIS_OF_RECORD_INVALID,The given basis of record is impossible to interpret or significantly different from the recommended vocabulary.,assertions
COLLECTION_MATCH_FUZZY,The given collection was fuzzily matched to a GRSciColl collection.,assertions
COLLECTION_MATCH_NONE,The given collection couldn't be matched with any GRSciColl collection.,assertions
CONTINENT_COORDINATE_MISMATCH,The interpreted occurrence coordinates fall outside of the indicated continent.,assertions
CONTINENT_COUNTRY_MISMATCH,The interpreted continent and country do not match.,assertions
CONTINENT_DERIVED_FROM_COORDINATES,"The interpreted continent is based on the coordinates, not the verbatim string information.",assertions
CONTINENT_DERIVED_FROM_COUNTRY,"The interpreted continent is based on the country, not the verbatim string information.",assertions
CONTINENT_INVALID,Uninterpretable continent values found.,assertions
COORDINATE_ACCURACY_INVALID,Deprecated. ,assertions
COORDINATE_INVALID,Coordinate value is given in some form but GBIF is unable to interpret it.,assertions
COORDINATE_OUT_OF_RANGE,Coordinate has a latitude and/or longitude value beyond the maximum (or minimum) decimal value.,assertions
COORDINATE_PRECISION_INVALID,Indicates an invalid or very unlikely coordinatePrecision,assertions
COORDINATE_PRECISION_UNCERTAINTY_MISMATCH,Deprecated. ,assertions
COORDINATE_REPROJECTED,The original coordinate was successfully reprojected from a different geodetic datum to WGS84.,assertions
COORDINATE_REPROJECTION_FAILED,The given decimal latitude and longitude could not be reprojected to WGS84 based on the provided datum.,assertions
COORDINATE_REPROJECTION_SUSPICIOUS,"Indicates successful coordinate reprojection according to provided datum, but which results in a datum shift larger than 0.1 decimal degrees.",assertions
COORDINATE_ROUNDED,Original coordinate modified by rounding to 5 decimals.,assertions
COORDINATE_UNCERTAINTY_METERS_INVALID,Indicates an invalid or very unlikely dwc:uncertaintyInMeters.,assertions
COUNTRY_COORDINATE_MISMATCH,The interpreted occurrence coordinates fall outside of the indicated country.,assertions
COUNTRY_DERIVED_FROM_COORDINATES,"The interpreted country is based on the coordinates, not the verbatim string information.",assertions
COUNTRY_INVALID,Uninterpretable country values found.,assertions
COUNTRY_MISMATCH,Interpreted country for dwc:country and dwc:countryCode contradict each other.,assertions
DEPTH_MIN_MAX_SWAPPED,Set if supplied minimum depth > maximum depth,assertions
DEPTH_NON_NUMERIC,Set if depth is a non-numeric value,assertions
DEPTH_NOT_METRIC,"Set if supplied depth is not given in the metric system, for example using feet instead of meters",assertions
DEPTH_UNLIKELY,"Set if depth is larger than 11,000m or negative.",assertions
DIFFERENT_OWNER_INSTITUTION,The given owner institution is different than the given institution.,assertions
ELEVATION_MIN_MAX_SWAPPED,Set if supplied minimum elevation > maximum elevation,assertions
ELEVATION_NON_NUMERIC,Set if elevation is a non-numeric value,assertions
ELEVATION_NOT_METRIC,"Set if supplied elevation is not given in the metric system, for example using feet instead of meters",assertions
ELEVATION_UNLIKELY,Set if elevation is above the troposphere (17km) or below 11km (Mariana Trench).,assertions
FOOTPRINT_SRS_INVALID,The Footprint Spatial Reference System given could not be interpreted.,assertions
FOOTPRINT_WKT_INVALID,The Footprint Well-Known-Text given could not be interpreted.,assertions
FOOTPRINT_WKT_MISMATCH,"The Footprint Well-Known-Text conflicts with the interpreted coordinates (Decimal Latitude, Decimal Longitude etc).",assertions
GEODETIC_DATUM_ASSUMED_WGS84,Indicating that the interpreted coordinates assume they are based on WGS84 datum as the datum was either not indicated or interpretable.,assertions
GEODETIC_DATUM_INVALID,The geodetic datum given could not be interpreted.,assertions
GEOREFERENCED_DATE_INVALID,The date given for dwc:georeferencedDate is invalid and can't be interpreted at all.,assertions
GEOREFERENCED_DATE_UNLIKELY,The date given for dwc:georeferencedDate is in the future or before Linnean times (1700).,assertions
IDENTIFIED_DATE_INVALID,The date given for dwc:dateIdentified is invalid and can't be interpreted at all.,assertions
IDENTIFIED_DATE_UNLIKELY,The date given for dwc:dateIdentified is in the future or before Linnean times (1700).,assertions
INDIVIDUAL_COUNT_CONFLICTS_WITH_OCCURRENCE_STATUS,"Example: individual count value > 0, but occurrence status is absent.",assertions
INDIVIDUAL_COUNT_INVALID,The individual count value is not a positive integer,assertions
INSTITUTION_COLLECTION_MISMATCH,The collection matched doesn't belong to the institution matched.,assertions
INSTITUTION_MATCH_FUZZY,The given institution was fuzzily matched to a GRSciColl institution.,assertions
INSTITUTION_MATCH_NONE,The given institution couldn't be matched with any GRSciColl institution.,assertions
INTERPRETATION_ERROR,"An error occurred during interpretation, leaving the record interpretation incomplete.",assertions
MODIFIED_DATE_INVALID,"A (partial) invalid date is given for dc:modified, such as a nonexistent date, zero month, etc.",assertions
MODIFIED_DATE_UNLIKELY,The date given for dc:modified is in the future or predates Unix time (1970).,assertions
MULTIMEDIA_DATE_INVALID,An invalid date is given for dc:created of a multimedia object.,assertions
MULTIMEDIA_URI_INVALID,An invalid URI is given for a multimedia object.,assertions
OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD,Occurrence status was inferred from basis of records,assertions
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Occurrence status was inferred from the individual count value,assertions
OCCURRENCE_STATUS_UNPARSABLE,Occurrence status value can't be assigned to OccurrenceStatus,assertions
POSSIBLY_ON_LOAN,Deprecated. ,assertions
PRESUMED_NEGATED_LATITUDE,"Latitude appears to be negated, e.g.",assertions
PRESUMED_NEGATED_LONGITUDE,"Longitude appears to be negated, e.g.",assertions
PRESUMED_SWAPPED_COORDINATE,Latitude and longitude appear to be swapped.,assertions
RECORDED_DATE_INVALID,"A (partial) invalid date is given, such as a non existing date, zero month, etc.",assertions
RECORDED_DATE_MISMATCH,"The recorded date specified as the eventDate string and the individual year, month, day are contradictory.",assertions
RECORDED_DATE_UNLIKELY,"The recorded date is highly unlikely, falling either into the future or representing a very old date before 1600 thus predating modern taxonomy.",assertions
REFERENCES_URI_INVALID,An invalid URI is given for dc:references.,assertions
TAXON_MATCH_AGGREGATE,"Matching to the taxonomic backbone can only be done on a species level, but the occurrence was in fact considered a broader species aggregate/complex.",assertions
TAXON_MATCH_FUZZY,"Matching to the taxonomic backbone can only be done using a fuzzy, non exact match.",assertions
TAXON_MATCH_HIGHERRANK,Matching to the taxonomic backbone can only be done on a higher rank and not the scientific name.,assertions
TAXON_MATCH_NONE,"Matching to the taxonomic backbone cannot be done because there was no match at all, or several matches with too little information to keep them apart (potentially homonyms).",assertions
TYPE_STATUS_INVALID,The given type status is impossible to interpret or significantly different from the recommended vocabulary.,assertions
ZERO_COORDINATE,"Coordinate is the exact 0°, 0° coordinate, often indicating a bad null coordinate.",assertions
